date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:52	2425/2425	---MC-	200	added ('OK')	application/json	date:Thu,%2012%20Sep%202024%2008:11:52%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Felementor-28941%2F	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embedaca7.json	(from https://www.afci-formation.fr/elementor-28941/)
10:11:53	2593/2593	---MCZ	200	added ('OK')	text/xml	date:Thu,%2012%20Sep%202024%2008:11:54%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Felementor-28941%2F&format=xml	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embed9ba3	(from https://www.afci-formation.fr/elementor-28941/)
10:11:53	82980/82980	---MCZ	200	added ('OK')	image/jpeg	etag:%2214424-5dae4b573db0f-gzip%22	https://www.afci-formation.fr/wp-content/uploads/2022/03/paris-g52e6e392c_640.jpg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/uploads/2022/03/paris-g52e6e392c_640.jpg	(from https://www.afci-formation.fr/thonon-les-bains/)
10:11:55	2547/2547	---MC-	200	added ('OK')	application/json	date:Thu,%2012%20Sep%202024%2008:11:55%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Fthonon-les-bains%2F	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embedb3f5.json	(from https://www.afci-formation.fr/thonon-les-bains/)
10:11:56	2720/2720	---MCZ	200	added ('OK')	text/xml	date:Thu,%2012%20Sep%202024%2008:11:57%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Fthonon-les-bains%2F&format=xml	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embed69e3	(from https://www.afci-formation.fr/thonon-les-bains/)
10:11:57	63385/63385	---M-Z	200	added ('OK')	image/png	etag:%22f799-5cfcc48edea72-gzip%22	https://www.afci-formation.fr/wp-content/uploads/2021/11/img1-1.png	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/uploads/2021/11/img1-1.png	(from https://www.afci-formation.fr/espace-apprenants/)
10:11:58	2341/2341	---MC-	200	added ('OK')	application/json	date:Thu,%2012%20Sep%202024%2008:11:59%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Fespace-apprenants%2F	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embede573.json	(from https://www.afci-formation.fr/espace-apprenants/)
10:11:59	2514/2514	---MCZ	200	added ('OK')	text/xml	date:Thu,%2012%20Sep%202024%2008:12:00%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Fespace-apprenants%2F&format=xml	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embed8975	(from https://www.afci-formation.fr/espace-apprenants/)
10:11:59	56564/56564	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dcf4-5c8036d136d00-gzip%22	https://www.afci-formation.fr/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-includes/fonts/dashicons7d4b.eot	(from https://www.afci-formation.fr/wp-includes/css/dashicons.min.css?ver=6.6.2)
10:12:00	56392/56392	---M-Z	200	added ('OK')	font/ttf	etag:%22dc48-5c8036d136d00-gzip%22	https://www.afci-formation.fr/wp-includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-includes/fonts/dashicons7d4b.ttf	(from https://www.afci-formation.fr/wp-includes/css/dashicons.min.css?ver=6.6.2)
